Disease	Genes count	Genes percentage	Fold change	P-value	FDR	Gene symbols	Entrez Gene IDs	PMIDs
Neuroblastoma	6	0.0285714285714286	0.414319972593354	9.970e-01	2.80109523809524	EGR1|ID2|NOS1|NTRK2|MAPK1|NBAS	1958|3398|4842|4915|5594|51594	16741963,17559061,18434015,18469860,21506108|11782392,12545167,12657241,12670915,15252039,16549780,16705184,19417068,19423615,24376712,25771836|7515942,8581564,10874031,14980078,15194886,15242984,19457105,19726747,26458913|12808116,15024057,15637590,16051641,17008023,18286198,18678285,19363525,19417027,20186105,21419569,21426646,21728718,23124249,24403123,25700942,26797418,27278006|11205744,11279118,12794004,14570886,15030407,15247297,16741963,18263590,20490331,21548882,21559503,22271254,25921289|9926938,12706883,17028906,23991058,25921289
Coronary Artery Disease	4	0.019047619047619	0.347978708099554	9.974e-01	2.67484545454545	APOB|CD36|CELSR2|KALRN	338|948|1952|8997	11748351,12044583,12492446,12752570,12760590,12818419,12964943,15135251,15543563,15630635,15699916,16316917,18193043,18254714,18258526,18701171,19551315,19948975,20686565,20691829,20864672,21059979,22507620,22786447,23171143,23701995,24097068,26537298,26582246,26916732,27112212,27236033,27487947,27637205,28473443|15282206,17619827,17924847,18067591,19948975,20485444,22113854,22993001,23856131,25916834,27460265,27596284,27995417|18193043,18649068,20686565,20691829,20738937,20864672,21239051,21378988,22003152,24097068,24674750,26464717|15272420,17357071,19706030,25316661,27218147
Mouth Neoplasms	2	0.00952380952380952	0.239461439461439	9.982e-01	2.5606	ELAVL1|MAPK1	1994|5594	20332213,20960565,21795698,23852810,24534848|15247230,16273204,18284542,19628422,21205837,23674093,24270523,25091805,25265753,25634589,27466485
Amyotrophic Lateral Sclerosis	3	0.0142857142857143	0.290372148859544	9.983e-01	2.45415416666667	ELAVL1|UNC13A|TMEM106B	1994|23025|54664	19805546,23969235,25239623,25592834,28300326|19734901,22118904,22921269,22959728,24256812,24931836,26162714,27584932|21104415,24442578,25085782,26186194,28477711
Uterine Cervical Neoplasms	3	0.0142857142857143	0.287952380952381	9.985e-01	2.35646	DAPK1|MAPK1|TAP2	1612|5594|6891	16142356,17868341,18425396,18799028,22116316,22490852,23494221,24314662,25268905,26267895,26823825|11409876,16574793,16897432,17504381,17961162,19723095,20351270,22406505,25120769,25647783,26247533,26310353,26992219,27259234,27453043,28328092,28393232|18248301,18650831,19188174,19202550,19263211,24288424
Atherosclerosis	2	0.00952380952380952	0.209801370457108	9.994e-01	2.26786923076923	APOB|CD36	338|948	16620782,16758614,16895799,17277381,17347910,17457002,18322245,18774540,19124125,19150065,19450572,19948975,20110441,20167655,20197510,21078674,21357823,21394531,21460103,21641598,22223728,22786447,22916037,22964994,22985435,23247145,24069429,24234650,24859635,24866382,25120028,26758372,27347637,28473443,28502501|16670819,16952981,17346709,17905828,18000176,18067591,18497330,19144874,19203752,19948975,20037584,20333725,20701912,20935172,20939828,21250778,22075538,22558273,22687273,23748423,25006585,26504087,26592663
Parkinson Disease	3	0.0142857142857143	0.253330540427315	9.996e-01	2.18431111111111	NOS1|SYNJ1|VPS35	4842|8867|55737	12490535,14752097,15699372,17174475,19326438,26081147,27749554|21563316,24262182,25302295,26149920,28231468,28331029|21763482,21763483,21832049,22154191,22410496,22673036,22801713,22991136,23125461,23261770,23408866,23411763,23536430,23726718,24115276,24152121,24262182,24740878,24819384,24854799,24980502,25416282,25533483,26251041,26300542,26547032,26618722,26947123,26965691,27262440,27385586,27460146,27777137,28040727,28222538,28383562
Ovarian Neoplasms	8	0.0380952380952381	0.384577470387153	9.998e-01	2.10672142857143	CASP2|DAPK1|ELAVL1|PPP2R1A|MAPK1|TOPBP1|BNC2|MUC16	835|1612|1994|5518|5594|11073|54796|94025	18413747,19738422,25151963,27193717,27567588|12792765,14767518,22465880,24337450,26075823,27452040|19281587,20587520,23394580,26640230,26692264,26943573,27075229|17374643,20826764,21381030,21435433,23267135,23588898|12121974,12972603,15243131,15655247,16395709,17341442,18365874,19697705,20072648,20174585,20628624,23338561,23820584,24342355,26117268,26548627,26617770,27780136,28933561|16930991,17616665,19584272,22708334,23819404,26811421|19648919,20852632,21642636,21750727,24853948,27899818|11369781,11786729,11920644,12218296,12734200,14676194,15483748,15788735,16174214,17067392,17300679,17301071,17413979,18042071,18317225,18503158,18820245,19060592,19064572,19075018,19337252,19937162,20009886,20089172,20099501,20497550,20628030,20680316,20803207,20861755,21046495,21326240,21331365,21344262,21421261,21515085,21614912,21625941,21836488,21852110,21893498,22994745,23095772,23322523,23343214,23426716,23564055,23669443,23765208,23915849,23925696,24012857,24083699,24447304,24551091,24651630,24690311,24716917,24740561,24771264,25174623,25190018,25197000,25205731,25326813,25416055,25454345,25667483,25799488,25951715,25965947,25978292,26045023,26122176,26143638,26285075,26458935,26499778,26918940,27003157,27116243,27221870,27268637,27292441,27407100,27612856,27629537,27855043,28284216,28549533,28551658,29187468
Carcinoma, Non-Small-Cell Lung	7	0.0333333333333333	0.360262138814418	9.998e-01	2.03407586206897	DAPK1|ELAVL1|NTRK2|MAPK1|MTA1|CHFR|MUC16	1612|1994|4915|5594|9112|55743|94025	15634757,17209433,18349282,19506903,19795445,20704749,21287504,26406950|17132932,19420963,21046284,21862584,25252849,26013954|20156366,21242122,22906736,24658140,24959744,25512530|14997206,17015027,17510316,19152186,20226009,21444628,21551235,21680106,21959954,22696230,23012423,23306155,23549785,23923067,24300974,25738359,26046675,26503828,26872057,27403934|11804687,20661085,20935042,21290196,21892752,22576802,23343746,23718732,25998575,27506865,28443468,29061215|12538348,14612512,20473935,22337872,23386692,25828518,26356822|14566828,17413979,17449138,22674301,23712355,24913812,26163610,26560853
Neovascularization, Pathologic	4	0.019047619047619	0.279226551226551	9.998e-01	1.96627333333333	ELAVL1|NTRK2|MAPK1|MTA1	1994|4915|5594|9112	16170373,17581403,20724828,21046284,23223443,23516604,25801788|15637590,16051641,17889702,19307055,22886570|16574793,17868650,18026817,18280482,19152186,19477952,20009539,21551235,21873429,21959954,22904195,23812726,25341684,26285778,27223086,28557972|16969516,20717904,21290196,22098246,22270988,23283219,23343746,23371285,24265228,25301048,25332143,28589145
Carcinoma	5	0.0238095238095238	0.282860885021985	9.999e-01	1.90303548387097	AR|EGR1|MUC2|MTA1|MUC16	367|1958|4583|9112|94025	8145761,10629558,11322786,14504193,15156193,15545219,18374401,18451096,19062046,19391487,19672785,19946220,20308360,20534771,20680031,21166701,21359179,21525791,21532617,21602788,21652770,21868758,21912077,21950206,22027692,22039288,22064655,22531679,22719059,22851332,23443946,23775437,24665929,25433476,26318424|15225550,16382041,20087343,20372793,20403028,21551235,23409769,25224321,25673149,28269757|11813869,12820725,15240568,16447040,17203232,23464473,23807779|21949998,22537306,22844865,23592142,23618874,23941622,25245523,25416046,28631568|17300679,20803207,20861755,21326240,21515085,22727919,27612856,27855043
Obesity	4	0.019047619047619	0.254262588037423	9.999e-01	1.843565625	APOB|CD36|NUCB2|NRXN3	338|948|4925|9369	11428473,11898622,12368141,12529498,15047470,15111985,17299378,18031309,18728123,18848826,18927546,19449275,19479237,19592048,19729411,19772655,20133978,20213498,20466372,20858904,20930716,22321874,22341868,22674204,24842304,25159728,25837208,25889118,26350813,26451733,27210509,27347637,28799493|15132977,16670153,16911630,16952981,17311893,17440173,18263877,18441389,19016618,19156623,19667111,19876004,19893500,20139232,20966904,21250778,22113854,22240721,24412488,24766787,25555908,25687220,25723554,25822988,26556365,27016784,27144937,28186980|20427481,21252251,21459029,23141462,23266808,23346951,23739643,23796625,23955480,23980879,24333832,25432328,25833360,26143537,26369257,28137218,28273586|19557197,20724581,20935630,21552555,21674055,22391885,23563607
Genetic Predisposition to Disease	50	0.238095238095238	0.402899651535443	1.000e+00	1.78787878787879	PARP4|AIF1|APOB|AR|C3|CASP10|CD36|COL5A1|COL7A1|COL11A2|CR1|DAPK1|DSCAM|CELSR2|FANCD2|GABBR1|IRAK1|IREB2|KCNMA1|IPO5|LIMK1|MUC2|MYH7|NOS1|NTRK2|NUCB2|PER1|SLIT3|TAP2|TRAF5|VIPR1|CUBN|KALRN|NRXN3|RGS14|TOPBP1|UNC13A|CUX2|PCLO|SUFU|TMEM106B|BNC2|VPS35|CDK5RAP2|GRAMD1B|ELAC2|PLXNA4|ARHGAP18|MPP7|MUC19	143|199|338|367|718|843|948|1289|1294|1302|1378|1612|1826|1952|2177|2550|3654|3658|3778|3843|3984|4583|4625|4842|4915|4925|5187|6586|6891|7188|7433|8029|8997|9369|10636|11073|23025|23316|27445|51684|54664|54796|55737|55755|57476|60528|91584|93663|143098|283463	17203305,18676680,19625176,19692168,23251661,26699384|12559634,17522098,18721278,18835879,19079260,19204726,19851445,20587610,20662065,20855536,21720444,22106834,22936669,23563607,25194280|11170229,11171287,12691171,12818419,14618390,15135251,15223114,15256516,15358600,15543563,15823278,16152798,17071710,17111197,17463246,17595251,17672218,17696941,17855807,18028451,18193581,18496130,18512131,18513389,18597093,18599996,18636124,18665040,18696186,18710658,18728123,18940289,19007590,19056482,19060911,19083997,19257963,19263529,19282863,19336370,19494537,19501493,19578130,19625176,19689828,19692168,19772655,19802338,19860767,19906129,19934556,19965785,20031551,20082485,20133978,20167577,20452482,20538126,20565774,20691427,20691829,20855565,20872969,20930716,20932654,20972250,21122859,21393584,21943158,22247256,22399527,22441101,22913027,22916037,23067240,23247145,23588940,24097068,24234650,24797048,25083581,25248404,25292352,25837208,26537298,26617857,26802983,26825690,26916057,27172140,27236033,27637205,27683205,28235710,28370191,28428224|11221880,11437399,11720249,11861380,11927493,11935317,12085360,12202660,12394768,12542725,12582022,12593895,12602902,12602915,12632109,12634316,12712467,12767946,12843184,12925954,14504193,14641003,14652007,14667136,15061984,15120698,15229204,15378650,15472213,15479493,15533905,15536520,15598771,15599941,15654614,15704521,15894683,15902657,15952987,15994977,16039774,16112495,16161040,16244490,16254899,16425097,16759930,16969583,17116317,17187234,17230529,17256155,17257635,17365134,17372242,17569297,17613104,17706202,17728127,17728669,17855696,17997416,18097504,18181049,18281036,18323476,18385763,18415690,18483761,18503826,18555222,18559568,18560135,18562955,18566991,18577874,18601603,18624843,18636124,18692840,18849991,18952763,18962445,19062009,19064572,19159685,19167832,19458022,19538365,19604497,19656574,19692168,19938041,20063560,20065623,20083725,20173765,20198568,20200439,20351714,20378615,20431938,20450840,20534771,20588308,20615892,20628746,20632874,20634197,20734064,20808127,20831839,20846920,20880698,20922474,21050150,21089003,21107681,21159020,21166701,21284948,21327417,21410621,21505847,21642359,21667251,21962961,22032556,22068615,22089459,22188741,22334387,22531679,22653589,22693459,22765868,22882535,23171135,23227263,23414681,23571770,23599814,23844628,24116069,24379448,24507681,24722188,24925673,25027083,25180665,25228652,25376484,25716092,25867301,26178169,26181238,26247526,26345963,26406407,26410037,26467701,26511871,26862755,26962784,27357524,28060723,28279145,28640128,29254307|11803045,15278436,16355111,17634448,17703412,18174230,18325906,18383369,18566738,18796626,18974840,19015224,19048105,19258923,19259132,19263529,19344414,19387462,19399715,19454698,19590060,19773279,19797206,19823576,19825847,20157618,20385819,20406964,20503287,20513133,20603037,20628624,20664795,20862287,21402993,21414106,21462136,21566112,21733505,22174912,22456601,22673887,22705344,23068452,23209669,23233260,23455636,23764154,24097068,24453474,24557084,24782052,25322978,25388911,25879158,26187133,26269006,26305563,26503818,26505407,26572892|16251207,17071630,17450141,17534194,17999750,18381704,18563783,18676680,19074885,19141860,19423537,19625176,19692168,19773279,20800603,20855536,20978178,21048031,23212337,23303631,23770605,23921907,28643196|15167446,15780035,15860439,16453284,17619827,18035074,18305138,19055786,19185504,19578796,19893500,20416077,20459687,20485444,20947105,20966904,20966915,21262584,21270117,22050542,22113854,22275803,22588808,22869067,22993001,23844572,24643644,25565374,25723554,27144937,27460265,27461004,27869039,28111291,28237985,28693442,28866086|16430677,16712791,18353721,18443036,18818748,19019335,19180518,19527514,19696512,20452482,22208904,22762739,23513063,23665963,24966028,25122555,28927971|17495952,18440202,18496702,19367581,19665875,19681861,20184583,21448560,25639640,28164502|16133074,16609882,17471097,18309376,18830248,19180518,19204726,19851445,20618517,20672350,21293383,22808956,23740775,24097066,25633957,27246988|12486610,12773320,15072851,15381817,15733500,16277654,17709521,17999656,18937792,18954261,19048480,19344414,19480840,19734903,19874218,19906204,20459687,20534741,20554627,20558149,20558387,20674675,20889874,21300948,21347408,21391232,21460840,21460841,21593778,21726919,21784344,22015308,22244847,22402018,22539578,22819390,22952074,22960360,23022416,23152904,23202439,23582656,23643458,24162737,24621201,24878768,24998857,25494101,25683978,25916414,26189835,26914463,28033544,28520715|16847012,18519826,18813964,20534741,20574532,20677014,21749573,22785394,24684796,24811488,25268905,27907054,28934284,28429084|18197079,18519826,19240061,21507922,22744455,23251661,23671607,24047446,24057671,25226531,25363760,25363768,25408124|18649068,19060911,19198609,19299407,20167577,20442857,20571754,20691829,20971364,21239051,21378988,21909109,21943158,24097068,24886709,29240829|16679306,17333336,18270339,18950845,19064571,19064572,19536649,19690177,19714462,20496165,23357080,25066130,27977684|12601092,15685626,15799783,15857448,15946333,17412563,17971048,18255321,18355961,18653317,19086053,19763258,19851445,20378664,20398908,20468064,21621395,22412388,26727527,27509181,27922604|16537705,18050247,18474871,18566305,19264973,19282863,19288030,19329491,19505919,19838195,20463618,20500689,20870441,20890200,21898345,21933552,22451023,22904263,23233309,23428850,23435933,23444193,23867959,24390342,24709033,25269878,25458699,26142671,28207326,28271077,28436939|11783942,19800047,20173748,20587604,20587610,21320324,22080838,22331484,22461431,22914670,23251661,24587150,25006744,25056061,25101718,25241909,26310313,26527870,26775557,28474623|16385451,18854754,20424473,20677014,21708048,22504420,25108383|11991713,16644122,17458142,20542336,24556642,26488411|16611674,17287949,18566305,19056482,20694560|17703412,18000536,19258923,19359471,20503287,21596555,22402132,22417007,23583980,27490946|11133230,12590187,12707239,12951062,15358028,15556047,16199542,17118657,17165166,18403758,18555187,18953637,19035361,19138847,19149795,19474452,19645038,20201937,20733148,22784669,22859017,23707328,24105371,24828896,24963656,25825456,28193612|11525805,11668616,12490535,12572877,12908999,15075442,15088155,15119548,15167446,15856945,16191396,17328085,17418914,17703412,18042235,18058820,18086269,18563708,18591664,18821565,19086053,19087148,19258923,19326438,19328558,19415232,19423521,19505917,19513863,20028935,20385275,20406964,20470850,20503287,20581851,20605417,20609134,20888049,20921115,21041608,21052031,21098972,21679499,21922604,22875507,23826716,24220657,24668187,24917196,25300364,25490993,25855559,26081147,26283425,27749554,28195573|15838534,16713586,17200667,17570738,17720314,17884018,18534558,19086053,19488044,19548263,19641488,19844206,19874574,20219210,20468064,21126736,21711518,21750702,23137999,23192594,23277131,23831349,24069289,25450229,25633318,25751398,26410934,26462037,26641254,28215305,28719467|20881960,21459029,23141462,23266808,23955480,26369257|16528748,17106427,17984998,18095154,18228528,18821565,19693801,19839995,19934327,20072116,20978934,24722188,26507264|15231749,18628988,19240061,20163849,20298552,20881960|9324024,12018331,12047361,12485523,12634240,12648225,12648282,12717621,14749980,15887980,16112028,16215317,16595160,16634865,16690408,16721835,16886895,17525827,17581627,17703412,17982230,18071882,18248301,18309376,18433405,18650831,18976687,19116923,19258923,19263211,19387463,19404951,19480848,19851445,20193774,20503287,20587610,21399633,21440064,21796142,21843574,22911334,23349640,24288424,24972609,25846714,25874709,26996113,27325005,27447835|17277003,18990758,19773279,20568250,21048031,24020968,24416204|18383379,18668120,19086053,20424473,20922191,26712708|10552972,16385451,20615890,20852008,20855565,21116278,21355061,23114252,23824729,24097068,24563210,26631737|17357071,20080650,21041834,21664346,27218147,28706949|18519826,19086053,19557197,20398908,20724581,20935630,21688152,22391885,22716474,22959728,23118423,23563607,24265751,24444492,24469609,25450229|20627871,21833088,22396660,22703881,22797727,23128233|16930991,17448016,17616665,19690177,20056645,21108795,22708334,23277395,23819404,24346708,26503213|22118904,22921269,22959728,23251661,26162714|11353453,15389760,19328558,19401682,22293688,23364394|18647954,19065144,20567237,20677014,21185011,22832909,23620758,25817861,26391493|12068298,16385451,19833601,23535732,24070372|17207965,20154673,21104415,21220649,21354975,22889924,23006423,24166182,24385136,24442578,24731779,25096617,25114081,25470345,27543298,28477711,28888721|18519826,19648919,20852632,20881960,23934736,25705849,26211971,28342042|21822266,22154191,22336192,22410496,22673115,22801713,22991136,23125461,23536430,24262182,25475142,26547032|20080800,21297427,24782177,28004182,28004384|18758461,20332261,20731705,23770605,24292274,25056061|10986046,11175785,11254448,11254449,11431329,11507049,12373607,12522685,12552947,12569551,12783937,12949798,14625808,15368467,15714208,15824169,16636667,18375959,18767027,20086112,20119870,20231859,20565774|17207965,19401682,23509962,24684796,24939585,25043464,27378688|16712791,18987618,19065146,22808956,24144296,24684796|16385451,21116278,22005930,22504420,23251661,24249740,27001270|18587394,19068216,21072187,21102463,23128233,23619718,26845862
Neoplasm Invasiveness	13	0.0619047619047619	0.339381772654665	1.000e+00	1.73529411764706	AR|COL7A1|EGR1|ELAVL1|ID2|LIMK1|MUC2|NTRK2|MAPK1|RALB|MTA1|TET1|MUC16	367|1294|1958|1994|3398|3984|4583|4915|5594|5899|9112|80312|94025	12534934,15288768,15302512,15305378,16791593,17476687,17634427,17914092,18174258,18187183,18266956,18451096,20200161,20615892,20632874,21047772,21400613,21519872,21680704,22819717,23417242,23426182,23609189,23620780,23715826,24648349,24662746,24897063,25145503,25228652,25301736,25307492,25724186,25730905,26175416,26297988,26304926,26311513,26342197,26560244,26885620,27255895,27409172,27462022,27534968,27693493,28011482,28089832,28373004,28935391|10232408,15774758,18331784,19422682,19435799|16382041,19152168,19837667,20945384,21354147,22095683,22912725,22918686,23696025,24011795,24297681,24704156,26519755,28269757|20332213,21503589,23401122,24036660,26314962,26498465,27140699,27215092,27542231,27941336,28035067|15041724,18281534,19257909,19368689,27364596,27378242,27807072|12777619,12821664,20133759,21219645,23239465,24063279,24390089,24858712,25661344,27665963,28440035|12527922,17991319,21441843,21605079,24280573,27835575|16051641,19087522,19307055,20101235,20132184,20156366,20694504,20811716,21999199,22343487,22361863,22886570,24321270,24853179,26820170,27385098,27662840,28604655|16209712,16424009,16820947,17410437,17825787,17961162,18284542,18426913,18456660,19020743,19082453,19116345,19199380,19502590,19632304,19782465,19930715,19941816,20102637,20226009,20811717,21205837,21354279,21574189,21765462,22076613,22328529,22543708,22670315,22751131,23222305,23250869,23306155,23424616,23644655,23674093,23983265,24119769,24370825,24587385,24657659,24691442,24735981,24789460,24951586,25085753,25561793,25655003,25738359,25845399,25855378,26117268,26261493,26617770,26781754,27085460,27223086,27395339,27665471,27876502,28315433,28376477,28569417,28933561,29196260,29550487|17174914,20801877,22331470,25573158,27991934|10840944,11804687,11948399,12650603,12684630,14735193,16244788,16831056,18196870,18640824,19377441,20935042,21336715,21595884,21813470,21892752,22139444,22176993,22270988,22575258,22576802,23227138,23343746,23618874,23718732,24214543,24424621,25301048,25315817,25359583,25502548,25688501,25977170,25998575,26168722,26543080,26689197,26698569,27048111,27323185,27574100,28231399,28631568|22999938,24507562,25175940,25735355,26931431,28513825|21836488,21852110,22320398,23915849,24403483,24680660,24722639,25205731,25965947,25978292,26046375,26176088,26925634,27167110,27221870
